,province,nowConfirm,confirm,dead,heal,deadRate,healRate
0,香港,135,5313,105,5073,1.98,95.48
1,上海,102,1168,7,1059,0.6,90.67
2,新疆,45,947,3,899,0.32,94.93
3,台湾,33,553,7,513,1.27,92.77
4,广东,31,1916,8,1877,0.42,97.96
5,四川,28,739,3,708,0.41,95.81
6,陕西,28,454,3,423,0.66,93.17
7,福建,25,436,1,410,0.23,94.04
8,内蒙?18,287,1,268,0.35,93.38,
9,天津,15,265,3,247,1.13,93.21
10,河北,7,372,6,359,1.61,96.51
11,山东,7,847,7,833,0.83,98.35
12,山西,6,212,0,206,0,97.17
13,江苏,6,672,0,666,0,99.11
14,辽宁,5,283,2,276,0.71,97.53
15,北京,4,942,9,929,0.96,98.62
16,重庆,4,589,6,579,1.02,98.3
17,云南,4,212,2,206,0.94,97.17
18,河南,4,1284,22,1258,1.71,97.98
19,浙江,3,1283,1,1279,0.08,99.69
20,黑龙?1,949,13,935,1.37,98.52,
21,青海,0,18,0,18,0,100
22,西藏,0,1,0,1,0,100
23,广西,0,260,2,258,0.77,99.23
24,甘肃,0,170,2,168,1.18,98.82
25,湖北,0,68139,4512,63627,6.62,93.38
26,贵州,0,147,2,145,1.36,98.64
27,宁夏,0,75,0,75,0,100
28,海南,0,171,6,165,3.51,96.49
29,湖南,0,1019,4,1015,0.39,99.61
30,澳门,0,46,0,46,0,100
31,安徽,0,991,6,985,0.61,99.39
32,江西,0,935,1,934,0.11,99.89
33,吉林,0,157,2,155,1.27,98.73
